url_path,views_total,views_unique
/CSAFE-ISU/handwriter,87,20
/CSAFE-ISU/handwriter/issues,30,4
/CSAFE-ISU/handwriter/tree/master/examples,28,3
/CSAFE-ISU/handwriter/tree/master/R,24,2
/CSAFE-ISU/handwriter/blob/master/examples/csafe_data/0001_4.png,15,3
/CSAFE-ISU/handwriter/tree/master/examples/csafe_data,15,2
/CSAFE-ISU/handwriter/blob/master/R/BatchProcessing.R,14,3
/CSAFE-ISU/handwriter/tree/0fba31a9f3a80ec0a81a4fde9b13519f7b158e89/inst/handwriter,12,1
/CSAFE-ISU/handwriter/tree/master/inst,11,3
/CSAFE-ISU/handwriter/tree/master/src,11,3
