time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-18 00:00:00+00:00,9.0,7.0,59,7
2024-03-19 00:00:00+00:00,,,28,5
2024-03-20 00:00:00+00:00,,,102,8
2024-03-21 00:00:00+00:00,1.0,1.0,10,4
2024-03-22 00:00:00+00:00,1.0,1.0,74,10
2024-03-23 00:00:00+00:00,1.0,1.0,8,2
2024-03-25 00:00:00+00:00,,,2,2
2024-03-26 00:00:00+00:00,,,1,1
2024-03-27 00:00:00+00:00,1.0,1.0,17,5
2024-03-28 00:00:00+00:00,,,18,5
2024-03-29 00:00:00+00:00,,,21,3
2024-03-30 00:00:00+00:00,,,5,3
2024-03-31 00:00:00+00:00,,,4,1
