time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-09 00:00:00+00:00,,,8,5
2024-06-10 00:00:00+00:00,11.0,6.0,52,4
2024-06-11 00:00:00+00:00,1.0,1.0,20,12
2024-06-12 00:00:00+00:00,1.0,1.0,21,6
2024-06-13 00:00:00+00:00,,,1,1
2024-06-14 00:00:00+00:00,12.0,4.0,66,3
2024-06-15 00:00:00+00:00,2.0,2.0,9,7
2024-06-16 00:00:00+00:00,1.0,1.0,4,4
2024-06-17 00:00:00+00:00,,,14,13
2024-06-18 00:00:00+00:00,7.0,5.0,44,32
2024-06-19 00:00:00+00:00,1.0,1.0,30,23
2024-06-20 00:00:00+00:00,,,45,23
2024-06-21 00:00:00+00:00,,,20,16
2024-06-22 00:00:00+00:00,1.0,1.0,5,5
