url_path,views_total,views_unique
/CSAFE-ISU/handwriter,73,31
/CSAFE-ISU/handwriter/issues,20,4
/CSAFE-ISU/handwriter/branches,13,3
/CSAFE-ISU/handwriter/commits/master,7,1
/CSAFE-ISU/handwriter/issues/new,7,1
/CSAFE-ISU/handwriter/tree/master/examples/example_template/data,5,2
/CSAFE-ISU/handwriter/issues/new/choose,5,1
/CSAFE-ISU/handwriter/tree/master/data-raw,4,1
/CSAFE-ISU/handwriter/tree/master,3,3
/CSAFE-ISU/handwriter/blob/master/examples/example_template/data/model_docs/w0009_s01_pWOZ_r01.png,3,1
