url_path,views_total,views_unique
/CSAFE-ISU/AOAS-2018-glass-manuscript/tree/master/glassdata/CompanyA-glass,56,5
/CSAFE-ISU/AOAS-2018-glass-manuscript/tree/master/glassdata,37,6
/CSAFE-ISU/AOAS-2018-glass-manuscript/tree/master/glassdata/CompanyB-glass,25,2
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/glassdata/Description_for_glass_database.pdf,14,4
/CSAFE-ISU/AOAS-2018-glass-manuscript,11,8
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/glassdata/CompanyA-glass/AA_pane.csv,7,3
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/glassdata/CompanyA-glass/AB_pane.csv,7,3
/CSAFE-ISU/AOAS-2018-glass-manuscript/tree/master,7,2
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/Glass_all_code.R,4,2
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/glassdata/CompanyA-glass/DAAK_pane.csv,4,2
