url_path,views_total,views_unique
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/glassdata/CompanyA-glass/AA_pane.csv,12,1
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/Glass_all_function.R,9,2
/CSAFE-ISU/AOAS-2018-glass-manuscript,7,4
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/Glass_all_code.R,7,2
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/glassdata/Description_for_glass_database.pdf,6,1
/CSAFE-ISU/AOAS-2018-glass-manuscript/tree/master/glassdata,4,1
/CSAFE-ISU/AOAS-2018-glass-manuscript/blame/master/Glass_all_function.R,2,1
/CSAFE-ISU/AOAS-2018-glass-manuscript/blame/master/glassdata/CompanyA-glass/AA_pane.csv,2,1
/CSAFE-ISU/AOAS-2018-glass-manuscript/blob/master/glassdata/CompanyA-glass/DAAA_pane.csv,2,1
/CSAFE-ISU/AOAS-2018-glass-manuscript/tree/master/glassdata/CompanyA-glass,2,1
